id_transacao,id_origem,id_destino,valor,data_transacao,canal,tipo_conta_origem,tipo_conta_destino,instituicao_origem,instituicao_destino,localizacao_origem,localizacao_destino,dispositivo_origem,ip_origem,fingerprint,fraude
T000038,C00883,C01311,335.64,2025-03-05 06:38:00,BOLETO,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco C,Freitas das Flores,Duarte,mobile,22.16.133.167,2d879f56e6f6,0
T000039,C00456,C00227,47.91,2025-03-24 00:34:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco B,Banco B,Almeida Paulista,Barbosa,web,69.111.27.136,72a954193bde,0
T000040,C01197,C00451,406.11,2025-01-14 14:51:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco C,da Rosa,da Luz,web,119.241.178.92,74282071b387,0
T000041,C00463,C00566,91.79,2025-01-13 18:47:00,BOLETO,Pessoa Física,Pessoa Física,Banco B,Banco Digital X,Moreira da Praia,Pinto,mobile,182.141.167.5,370a02dcb5ab,0
T000042,C00289,C00964,226.53,2025-01-10 21:20:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco Digital X,da Mota de Campos,Fernandes,mobile,61.111.172.80,2ed07482280d,0
T000043,C01145,C00344,299.18,2025-01-11 05:26:00,PIX,Pessoa Física,Pessoa Jurídica,Wallet Y,Banco A,Almeida,Rezende de Freitas,web,39.148.53.238,1071233c9e22,0
T000044,C00451,C00228,206.32,2025-01-09 23:40:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,Cardoso,Alves,caixa_eletronico,254.110.85.197,b0e653cffe32,0
T000045,C00259,C00493,282.8,2025-02-13 20:02:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco C,Wallet Y,Souza do Galho,Jesus de Viana,web,98.245.149.160,6005cabfa7de,0
T000046,C00501,C00947,26.43,2025-03-07 17:20:00,PIX,Pessoa Física,Pessoa Física,Banco Digital X,Wallet Y,Barbosa do Norte,Cunha,web,230.197.36.213,d0e405ee775f,0
T000047,C01098,C00444,317.46,2025-03-12 09:55:00,TED,Pessoa Física,Pessoa Física,Banco B,Banco Digital X,Costela da Serra,Monteiro,mobile,67.156.132.70,c0664faef20d,0
T000048,C00566,C00823,103.35,2025-02-08 19:27:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco Digital X,Castro de Silveira,da Mata,web,246.47.209.249,0e9f408171cd,0
T000049,C00043,C01412,38.7,2025-02-04 09:14:00,DOC,Pessoa Física,Pessoa Jurídica,Banco A,Banco Digital X,Freitas,Campos do Sul,caixa_eletronico,122.150.250.97,5473f5c10034,0
T000050,FRAUD144,FRAUD143,1292.3,2025-01-31 21:18:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Pereira de Minas,Pereira de Minas,web,192.168.1.29,047df867af00,1
T000051,C01238,C00814,569.63,2025-02-16 15:55:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,da Cruz de Pires,Aragão Verde,mobile,199.44.243.250,a5885133a434,0
T000052,C00911,C00342,196.02,2025-03-09 05:17:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco A,Wallet Y,da Mota Verde,Fogaça,mobile,203.19.214.110,ebac14b41207,0
T000053,C00978,C01081,301.92,2025-01-07 09:46:00,PIX,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Gomes,Santos,web,40.140.27.194,de7064ea25a4,0
T000054,C00965,C00639,729.36,2025-01-22 18:26:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco C,da Mata de Melo,Barbosa,web,173.46.137.187,febda6c02676,0
T000055,C01228,C00373,108.15,2025-01-22 18:26:00,BOLETO,Pessoa Física,Pessoa Física,Wallet Y,Banco A,Freitas de Ramos,Melo de Campos,mobile,58.251.236.129,a39e9384b93f,0
T000056,C00694,C01294,17.04,2025-01-26 19:14:00,PIX,Pessoa Física,Pessoa Física,Banco C,Wallet Y,Silva da Serra,Castro das Pedras,web,224.28.31.235,e110fb2bb105,0
T000057,C01358,C00387,428.57,2025-03-22 02:17:00,DOC,Pessoa Física,Pessoa Jurídica,Banco A,Banco Digital X,Gomes,Carvalho,web,189.180.159.208,cacd4691fbad,0
T000058,C00615,C00929,371.46,2025-02-07 00:11:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco Digital X,Freitas de Minas,Gonçalves,caixa_eletronico,135.127.166.162,44b5e49a79b9,0
T000059,C00011,C01484,82.47,2025-02-21 11:08:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco B,Banco Digital X,Freitas de da Cruz,Moura de Goiás,mobile,122.69.20.221,8ecd495e1339,0
T000060,C01308,C01184,95.38,2025-01-09 20:52:00,PIX,Pessoa Física,Pessoa Física,Banco Digital X,Wallet Y,Lopes,Lopes,mobile,163.193.110.178,0215d6c2c343,0
T000061,C00986,C01106,360.03,2025-01-21 16:10:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco Digital X,Novaes,Freitas da Mata,web,49.155.5.0,ca32779d705e,0
T000062,C00757,C00571,132.94,2025-03-27 21:00:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Banco A,Banco C,Moreira do Sul,Lopes,mobile,241.23.223.221,3f6151d40495,0
T000063,C00920,C00039,7.02,2025-01-20 00:38:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco A,da Costa de Cardoso,Araújo dos Dourados,mobile,219.44.109.81,a5c97ac3dd29,0
T000064,FRAUD003,FRAUD002,1167.45,2025-01-31 06:42:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Barros de Ribeiro,Barros de Ribeiro,mobile,192.168.1.1,f5dbbb6c5c67,1
T000065,C00824,C00664,663.72,2025-01-01 23:09:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Wallet Y,da Luz de Dias,Campos,mobile,157.19.28.221,1b918a3a12af,0
T000066,C00693,C01175,15.55,2025-01-30 23:32:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco C,Wallet Y,Oliveira,Farias do Amparo,mobile,213.233.198.97,459e9688115c,0
T000067,C00937,C01455,61.09,2025-03-06 01:01:00,PIX,Pessoa Física,Pessoa Física,Banco B,Banco C,Araújo de Rocha,Melo Paulista,web,33.224.231.47,40df04aff9d9,0
T000068,C00488,C00586,523.51,2025-02-10 11:30:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco C,Cavalcanti,Ramos,caixa_eletronico,170.146.147.233,fbcc6425a1a3,0
T000069,C00645,C00281,163.35,2025-01-25 14:52:00,PIX,Pessoa Física,Pessoa Física,Banco A,Banco A,Rezende,Gomes do Amparo,web,186.117.169.181,8e7e6b44e688,0
T000070,C01417,C00818,270.62,2025-03-02 08:09:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,Correia do Oeste,Souza de Souza,caixa_eletronico,139.167.97.19,c0d47567b950,0
T000071,C01444,C01171,355.49,2025-03-27 01:29:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco B,Pires,Sales,web,159.249.77.108,0a897d30f4df,0
T000072,C00231,C00644,680.97,2025-01-12 06:02:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco C,da Costa dos Dourados,Campos,caixa_eletronico,83.20.42.167,82ed86ba7c6b,0
T000073,C01455,C00878,105.8,2025-02-21 00:07:00,BOLETO,Pessoa Física,Pessoa Física,Wallet Y,Wallet Y,Porto de Goiás,da Cruz do Campo,caixa_eletronico,134.237.247.246,c2c7ddc5f6d5,0
T000074,C00983,C01429,590.22,2025-02-10 05:20:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco B,Costa da Mata,Aragão,mobile,175.24.78.62,d5e35adbaf04,0
T000075,C00645,C01316,338.85,2025-03-13 06:51:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco B,Correia,Nogueira,caixa_eletronico,255.94.176.239,8e7e6b44e688,0
T000076,C00353,C00437,114.96,2025-02-05 15:24:00,TED,Pessoa Física,Pessoa Física,Wallet Y,Banco Digital X,Aragão,Cavalcanti das Pedras,caixa_eletronico,24.237.62.118,ef7eb485ca2e,0
T000077,C00097,C01117,128.45,2025-03-12 22:49:00,TED,Pessoa Física,Pessoa Jurídica,Banco Digital X,Wallet Y,Santos das Flores,Jesus,mobile,179.79.84.238,a7f39a691e6c,0
T000078,C00575,C01005,287.75,2025-02-10 11:52:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco A,Lima de da Rosa,Martins,caixa_eletronico,101.197.89.193,3ac6a40efcf6,0
T000079,C00862,C00352,119.16,2025-02-07 00:56:00,DOC,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco A,da Mota,Porto,web,253.233.118.254,3d945a3ef8a1,0
T000080,C00901,C00143,279.1,2025-01-15 18:05:00,PIX,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco Digital X,Costa,Nogueira da Prata,caixa_eletronico,243.254.57.109,f5ac5e366139,0
T000081,C00396,C01205,204.01,2025-02-19 21:01:00,TED,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Wallet Y,Cavalcanti,Costela de Silva,mobile,150.155.90.162,fa01eab1b6da,0
T000082,C00163,C01393,310.76,2025-02-12 11:49:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco C,da Cunha,da Luz,web,66.70.125.76,7684f38688ca,0
T000083,C00750,C00591,58.6,2025-02-25 00:05:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco C,Banco B,Barbosa Verde,Viana,web,31.203.20.96,b2ff5cdb666d,0
T000084,C00433,C00056,736.24,2025-01-08 22:00:00,DOC,Pessoa Física,Pessoa Física,Banco C,Banco B,Santos,da Rocha,web,182.137.122.144,1b67347eb816,0
T000085,C01434,C00330,444.22,2025-02-11 04:28:00,BOLETO,Pessoa Física,Pessoa Física,Banco A,Banco Digital X,Porto,Rezende dos Dourados,caixa_eletronico,130.18.250.228,194c3254f62b,0
T000086,C01007,C01018,49.4,2025-01-15 03:33:00,PIX,Pessoa Jurídica,Pessoa Física,Wallet Y,Wallet Y,Rodrigues,Melo de Goiás,mobile,114.40.221.155,92b8108db48f,0
T000087,C00561,C00432,457.63,2025-03-25 12:38:00,TED,Pessoa Jurídica,Pessoa Física,Banco C,Banco Digital X,da Rosa,Cardoso,web,60.95.52.55,605b233bc0e2,0
T000088,C01499,C01003,10.39,2025-02-11 05:27:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco B,Moreira Grande,Ribeiro,web,42.243.122.206,fd0bd0207e1b,0
T000089,C00641,C00622,64.95,2025-02-01 02:45:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco C,Gomes,Oliveira Verde,mobile,129.109.232.106,0dff49b67ddc,0
T000090,C00532,C01242,1094.11,2025-01-20 11:48:00,PIX,Pessoa Física,Pessoa Jurídica,Banco C,Banco Digital X,Carvalho,da Rosa,caixa_eletronico,129.46.59.64,5af56c0eeb9b,0
T000091,C00734,C00768,169.46,2025-02-09 04:50:00,TED,Pessoa Física,Pessoa Jurídica,Wallet Y,Banco B,Porto,Viana,mobile,54.40.195.123,bc2e963d72a0,0
T000092,C00578,C01467,103.52,2025-02-17 05:06:00,PIX,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco B,Campos de Aragão,Silva,mobile,132.233.133.227,406714486a9c,0
T000093,C01277,C00298,399.87,2025-03-05 02:55:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco A,Pinto,Fernandes do Galho,caixa_eletronico,238.20.201.0,55fc15e1c04c,0
T000094,C00839,C00070,140.61,2025-03-06 05:07:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco B,Mendes de Melo,Lima de Goiás,mobile,181.71.14.114,618e5ca64342,0
T000095,C01420,C01199,500.45,2025-03-02 01:00:00,BOLETO,Pessoa Física,Pessoa Física,Banco C,Wallet Y,Costa,Carvalho,caixa_eletronico,172.198.26.124,810162862cc0,0
T000096,C01471,C01176,451.02,2025-03-06 14:17:00,TED,Pessoa Jurídica,Pessoa Física,Banco C,Banco A,Costa,Araújo Paulista,mobile,163.223.115.182,01d3222ec754,0
T000097,C01301,C00933,30.47,2025-01-05 17:15:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco A,Banco Digital X,Lopes Alegre,Cunha de Goiás,mobile,169.189.10.205,3ab45adc7ef6,0
T000098,C00796,C00281,1162.97,2025-01-31 21:39:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Ramos da Mata,Moura,mobile,65.197.210.178,c6856d6907f1,0
T000099,C00130,C01319,285.93,2025-02-16 03:56:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco C,Banco B,Fernandes,Almeida dos Dourados,caixa_eletronico,203.11.205.176,9fd8223d0ad1,0
T000100,C00941,C00430,44.43,2025-01-13 07:33:00,PIX,Pessoa Física,Pessoa Física,Banco A,Banco C,Vieira,Caldeira da Praia,caixa_eletronico,214.224.85.7,7c58e2c6ec1c,0
T000101,C00336,C00405,10.46,2025-01-21 13:24:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco B,Nascimento do Amparo,Caldeira do Amparo,mobile,246.251.93.65,0eb149d93b94,0
T000102,C01055,C00581,327.6,2025-03-13 06:14:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco A,Banco Digital X,da Conceição,Ribeiro,mobile,75.113.17.117,851dff85edf4,0
T000103,C00929,C01060,80.04,2025-01-30 20:57:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco A,Banco A,Barbosa,Lopes,caixa_eletronico,192.34.99.64,9ee5e51a9a3c,0
T000104,C00399,C00497,100.84,2025-03-16 01:31:00,BOLETO,Pessoa Física,Pessoa Física,Banco C,Banco A,Farias,da Rocha,caixa_eletronico,151.90.40.85,9c143cefc332,0
T000105,C01484,C01174,156.63,2025-01-16 12:47:00,DOC,Pessoa Física,Pessoa Física,Banco Digital X,Banco A,da Rocha,Nunes,web,71.1.218.98,50b5b1c4f2ba,0
T000106,C00988,C00354,58.95,2025-02-14 10:39:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco A,Wallet Y,Cardoso,da Paz,web,30.28.171.178,4a61aaa2a242,0
T000107,C00868,C01107,211.6,2025-03-29 01:08:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Wallet Y,Wallet Y,da Rocha,Nunes,web,141.160.13.96,d8035de7c37d,0
T000108,C00536,C01482,271.0,2025-03-13 09:53:00,DOC,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco C,Mendes de Goiás,da Luz da Praia,mobile,74.71.206.144,18b04fcdf1e9,0
T000109,C00281,C00015,235.71,2025-03-26 10:48:00,TED,Pessoa Jurídica,Pessoa Física,Banco B,Wallet Y,das Neves,da Paz,caixa_eletronico,178.227.169.42,b0de085e2991,0
T000110,C00749,C01163,176.91,2025-03-28 10:22:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco C,Banco Digital X,Campos de Caldeira,da Cruz de Goiás,mobile,239.34.168.127,a587e0f9086e,0
T000111,C00573,C00656,2181.31,2025-02-03 05:55:00,DOC,Pessoa Física,Pessoa Física,Wallet Y,Banco B,Martins da Praia,Melo,mobile,223.50.231.145,52b8d62e30d3,0
T000112,C00845,C00406,262.22,2025-02-07 10:51:00,PIX,Pessoa Jurídica,Pessoa Física,Banco B,Banco C,Barros do Galho,Cardoso Alegre,mobile,62.244.105.152,9d3249228e67,0
T000113,C00795,C00787,403.11,2025-01-15 14:25:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,Porto de Costa,Novaes,web,148.238.200.67,faa23eefb2a0,0
T000114,C01405,C00770,410.92,2025-03-14 11:19:00,PIX,Pessoa Física,Pessoa Jurídica,Banco A,Banco C,Campos do Amparo,Costa,mobile,79.0.41.0,7690e373034b,0
T000115,C00760,C00162,102.11,2025-03-22 21:17:00,TED,Pessoa Física,Pessoa Física,Banco C,Banco Digital X,da Mata das Pedras,Caldeira,mobile,69.191.105.95,29a4e396f9fb,0
T000116,C00117,C00817,337.55,2025-03-30 00:44:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco C,Banco Digital X,Carvalho,Lima,web,224.150.180.77,2a7b8a847a6f,0
T000117,C01252,C00249,57.63,2025-02-24 12:47:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,das Neves do Oeste,Castro Grande,web,154.242.32.9,7fa5daf1b34b,0
T000118,C00643,C00097,70.81,2025-03-01 21:46:00,DOC,Pessoa Física,Pessoa Física,Banco A,Banco A,Lopes de Minas,Lima,mobile,46.247.4.144,95b026886b6f,0
T000119,C00432,C00769,471.48,2025-02-01 16:12:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco B,Nunes,Fernandes do Galho,caixa_eletronico,213.93.211.251,1de7e41c7162,0
T000120,C00796,C01396,400.04,2025-03-29 11:48:00,DOC,Pessoa Jurídica,Pessoa Física,Banco A,Wallet Y,Farias das Flores,Correia do Amparo,caixa_eletronico,41.129.246.152,c6856d6907f1,0
T000121,C00534,C00232,208.61,2025-03-08 17:08:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco C,Banco Digital X,Jesus dos Dourados,Costela de da Luz,mobile,138.8.151.15,7a1fd140474d,0
T000122,C00391,C00928,308.75,2025-02-04 05:01:00,PIX,Pessoa Física,Pessoa Jurídica,Wallet Y,Banco B,Peixoto do Norte,Barbosa,mobile,149.252.252.14,17b75c625d03,0
T000123,C01206,C01439,390.23,2025-02-02 15:04:00,DOC,Pessoa Física,Pessoa Física,Banco C,Banco C,Peixoto do Amparo,Moreira,caixa_eletronico,65.93.89.30,9dd5af26d3e4,0
T000124,C01430,C01061,145.55,2025-02-11 21:02:00,DOC,Pessoa Física,Pessoa Física,Banco B,Banco Digital X,Rezende de Cunha,Monteiro das Pedras,caixa_eletronico,35.166.185.132,b6b139b8598d,0
T000125,C01064,C00380,146.22,2025-03-06 03:15:00,PIX,Pessoa Física,Pessoa Física,Banco C,Banco A,Barbosa de Castro,Carvalho da Prata,caixa_eletronico,198.125.171.93,dee401ad9079,0
T000126,FRAUD059,FRAUD058,975.91,2025-03-16 06:05:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Pires,Pires,mobile,192.168.1.12,87767d76f509,1
T000127,C00877,C01092,232.19,2025-03-01 21:18:00,TED,Pessoa Jurídica,Pessoa Física,Banco B,Banco A,Oliveira de Teixeira,Melo das Flores,mobile,240.136.110.168,3ad124f68a3f,0
T000128,C01221,C00155,201.09,2025-01-10 17:22:00,DOC,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Cardoso Paulista,Caldeira,mobile,242.32.124.143,13c58e27aaad,0
T000129,C00915,C00757,220.08,2025-02-07 22:57:00,TED,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,Mendes,Alves do Oeste,caixa_eletronico,244.243.143.174,bd6e7221aa60,0
